date,fund,fund_scope,fund_level_ntd,fund_level_100m_ntd,reported_fund_level_ntd,fund_ytd_return_pct,fund_annualized_return_pct,taiwan_registered_population,taiwan_deaths,taiwan_age_60plus_annual_deaths,taiwan_age_60plus_population,taiwan_age_60plus_monthly_mortality_rate,taiwan_age_60plus_mortality_reference_year,labor_insurance_old_age_pension_recipients,monthly_pension_recipients,new_monthly_pension_recipients,estimated_new_monthly_pension_recipients,unshifted_estimated_new_monthly_pension_recipients,new_monthly_pension_recipients_shift,reported_new_monthly_pension_recipients,new_monthly_pension_recipients_method,lumpsum_recipients,source_title,source_url,population_source_url,pension_recipients_source_url,lumpsum_recipients_source_url,payment_month_new_monthly_pension_recipients,payment_month_estimated_new_monthly_pension_recipients,payment_month_unshifted_estimated_new_monthly_pension_recipients,payment_month_reported_new_monthly_pension_recipients,payment_month_new_monthly_pension_recipients_method,new_monthly_pension_recipients_source_period,new_monthly_pension_recipients_source_url
2009-01,勞工保險基金,普通事故及職業災害保險,200243829119,2002.4383,,,,23046177,9689,105541,3368410,0.0026493138,2009,0,0,15707,15707,18159,-2452.130046,,estimated_from_stock_change_mortality_and_shift,18125,1月,https://www.blf.gov.tw/media/mlrjsejf/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-946-a06147cff8222bc6c2b82df2a4beecce.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://www.bli.gov.tw/0105220.html,https://events.bli.gov.tw/report/attachment_file/report/month/09801/1181102020.csv,0,0,0,,estimated_from_stock_change_mortality_and_shift,2009-02,https://events.bli.gov.tw/report/attachment_file/report/month/09802/a12010.csv
2009-02,勞工保險基金,普通事故及職業災害保險,193961295769,1939.613,,,,23049407,15877,105541,3368410,0.0026493138,2009,18159,18159,6732,6732,9184,-2452.130046,,estimated_from_stock_change_mortality_and_shift,5562,2月,https://www.blf.gov.tw/media/lvaj0dkx/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-947-c998d2f96efc7832355b4d33d6f2c9db.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09802/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09802/1181102020.csv,15707,15707,18159,,estimated_from_stock_change_mortality_and_shift,2009-03,https://events.bli.gov.tw/report/attachment_file/report/month/09803/a12010.csv
2009-03,勞工保險基金,普通事故及職業災害保險,192729506302,1927.2951,,,,23058550,12635,105541,3368410,0.0026493138,2009,27295,27295,4623,4623,7075,-2452.130046,,estimated_from_stock_change_mortality_and_shift,8066,3月,https://www.blf.gov.tw/media/ruhj0khx/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-948-106b544a8d081146de364bac0eda8edb.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09803/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09803/1181102020.csv,6732,6732,9184,,estimated_from_stock_change_mortality_and_shift,2009-04,https://events.bli.gov.tw/report/attachment_file/report/month/09804/a12010.csv
2009-04,勞工保險基金,普通事故及職業災害保險,195198099036,1951.981,,,,23059339,11953,105541,3368410,0.0026493138,2009,34298,34298,2627,2627,5079,-2452.130046,,estimated_from_stock_change_mortality_and_shift,7148,4月,https://www.blf.gov.tw/media/hxqh0u3g/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-949-212cf65e88d31a49dff6deb8ed95cb0e.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09804/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09804/1181102020.csv,4623,4623,7075,,estimated_from_stock_change_mortality_and_shift,2009-05,https://events.bli.gov.tw/report/attachment_file/report/month/09805/a12010.csv
2009-05,勞工保險基金,普通事故及職業災害保險,236094119374,2360.9412,,,,23063027,10327,105541,3368410,0.0026493138,2009,39286,39286,900,900,3352,-2452.130046,,estimated_from_stock_change_mortality_and_shift,4896,5月,https://www.blf.gov.tw/media/tjlmg5n5/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-953-a9a1efcdbcb765b2708d3b7e1e7001af.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09805/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09805/1181102020.csv,2627,2627,5079,,estimated_from_stock_change_mortality_and_shift,2009-06,https://events.bli.gov.tw/report/attachment_file/report/month/09806/a12010.csv
2009-06,勞工保險基金,普通事故及職業災害保險,241376009281,2413.7601,,,,23069345,12422,105541,3368410,0.0026493138,2009,42534,42534,2489,2489,4941,-2452.130046,,estimated_from_stock_change_mortality_and_shift,9667,6月,https://www.blf.gov.tw/media/4vghpjlj/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-954-eee6f7743e20a3434de17f1f586f962a.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09806/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09806/1181102020.csv,900,900,3352,,estimated_from_stock_change_mortality_and_shift,2009-07,https://events.bli.gov.tw/report/attachment_file/report/month/09807/a12010.csv
2009-07,勞工保險基金,普通事故及職業災害保險,254710759933,2547.1076,,,,23077191,11609,105541,3368410,0.0026493138,2009,47362,47362,1800,1800,4252,-2452.130046,,estimated_from_stock_change_mortality_and_shift,10514,7月,https://www.blf.gov.tw/media/xkddqm2f/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-955-db47b17d9ce3d375ff874ca19240a7a6.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09807/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09807/1181102020.csv,2489,2489,4941,,estimated_from_stock_change_mortality_and_shift,2009-08,https://events.bli.gov.tw/report/attachment_file/report/month/09808/a12010.csv
2009-08,勞工保險基金,普通事故及職業災害保險,260083291870,2600.8329,,12.79,19.785954,23082125,11824,105541,3368410,0.0026493138,2009,51489,51489,962,962,3414,-2452.130046,,estimated_from_stock_change_mortality_and_shift,7489,8月,https://www.blf.gov.tw/media/jmwfaaz1/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-956-b2090505d106084493189f2e66aac4a5.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09808/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09808/1181102020.csv,1800,1800,4252,,estimated_from_stock_change_mortality_and_shift,2009-09,https://events.bli.gov.tw/report/attachment_file/report/month/09809/a12010.csv
2009-09,勞工保險基金,普通事故及職業災害保險,271165346493,2711.6535,,15.5,21.183264,23086441,11610,105541,3368410,0.0026493138,2009,54767,54767,1495,1495,3947,-2452.130046,,estimated_from_stock_change_mortality_and_shift,8297,9月,https://www.blf.gov.tw/media/vo2bcme5/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-957-b482b472142ea92a9df84dda80f19553.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09809/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09809/1181102020.csv,962,962,3414,,estimated_from_stock_change_mortality_and_shift,2009-10,https://events.bli.gov.tw/report/attachment_file/report/month/09810/a12010.csv
2009-10,勞工保險基金,普通事故及職業災害保險,274708851397,2747.0885,,14.14,17.199414,23098049,11476,105541,3368410,0.0026493138,2009,58569,58569,1404,1404,3856,-2452.130046,,estimated_from_stock_change_mortality_and_shift,8534,10月,https://www.blf.gov.tw/media/lp4hyc1g/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-958-1e1fa4ce634102e6b1fc4a8d1004025f.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09810/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09810/1181102020.csv,1495,1495,3947,,estimated_from_stock_change_mortality_and_shift,2009-11,https://events.bli.gov.tw/report/attachment_file/report/month/09811/a12010.csv
2009-11,勞工保險基金,普通事故及職業災害保險,283447744154,2834.4774,,15.59,17.122488,23109141,11450,105541,3368410,0.0026493138,2009,62270,62270,1075,1075,3527,-2452.130046,,estimated_from_stock_change_mortality_and_shift,7686,11月,https://www.blf.gov.tw/media/td1l3hoy/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-959-18d555c6d51f91f867cccb6780ba2e5c.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09811/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09811/1181102020.csv,1404,1404,3856,,estimated_from_stock_change_mortality_and_shift,2009-12,https://events.bli.gov.tw/report/attachment_file/report/month/09812/a12010.csv
2009-12,勞工保險基金,普通事故及職業災害保險,296607797498,2966.078,,18.21,18.21,23119772,12710,105541,3368410,0.0026493138,2009,65632,65632,3154,3154,5606,-2452.130046,,estimated_from_stock_change_mortality_and_shift,8501,12月,https://www.blf.gov.tw/media/bcwjgduj/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-960-840df2476182cb65713223126a4376ee.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09812/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09812/1181102020.csv,1075,1075,3527,,estimated_from_stock_change_mortality_and_shift,2010-01,https://events.bli.gov.tw/report/attachment_file/report/month/09901/a12010.csv
2010-01,勞工保險基金,普通事故及職業災害保險,293714687760,2937.1469,,-2.39,-25.194806,23124514,12496,108596,3515174,0.0026116469,2010,71067,71067,1744,1744,4197,-2452.130046,,estimated_from_stock_change_mortality_and_shift,6551,1月,https://www.blf.gov.tw/media/todnivxt/d-library-downloads-blf_cht_file_20170316-sitebuilderuploads-1001-14ecca517e609010d8332b71546b39fa.pdf?mediaDL=true,https://www.ris.gov.tw/info-popudata/app/awFastDownload/toMain_panel,https://events.bli.gov.tw/report/attachment_file/report/month/09901/a12010.csv,https://events.bli.gov.tw/report/attachment_file/report/month/09901/1181102020.csv,3154,3154,5606,,estimated_from_stock_change_mortality_and_shift,2010-02,https://events.bli.gov.tw/report/attachment_file/report/month/09902/a12010.csv
