▓╬нp┤┴,╡╣еI║╪├■/ж╤ж~╡╣еI,
,еє╝╞,кў├B
98ж~ 1ды,29127,20201892
98ж~ 2ды,17921,6429122
98ж~ 3ды,20918,8803083
98ж~ 4ды,14829,7747969
98ж~ 5ды,9347,5205654
98ж~ 6ды,9687,6039467
98ж~ 7ды,10544,7861274
98ж~ 8ды,7519,5740552
98ж~ 9ды,8329,6338459
98ж~ 10ды,8554,6690239
98ж~ 11ды,7734,6228808
98ж~ 12ды,8549,6898948
99ж~ 1ды,8408,7108787
99ж~ 2ды,4756,3890622
99ж~ 3ды,8087,6834504
99ж~ 4ды,8137,6995686
99ж~ 5ды,7472,6241525
99ж~ 6ды,7228,6231822
99ж~ 7ды,8599,7859541
99ж~ 8ды,7187,6318524
99ж~ 9ды,6815,6018818
99ж~ 10ды,7330,6440935
99ж~ 11ды,6706,5847312
99ж~ 12ды,7706,6650119
100ж~ 1ды,8256,7584255
100ж~ 2ды,4195,3681816
100ж~ 3ды,7514,6736328
100ж~ 4ды,7236,6622146
100ж~ 5ды,7012,6275479
100ж~ 6ды,6751,6141124
100ж~ 7ды,7802,7543561
100ж~ 8ды,7504,6788124
100ж~ 9ды,6837,6138803
100ж~ 10ды,7400,6680005
100ж~ 11ды,7434,6452629
100ж~ 12ды,7393,6635094
101ж~ 1ды,6588,6362549
101ж~ 2ды,6231,5604376
101ж~ 3ды,8348,7565016
101ж~ 4ды,7363,6863527
101ж~ 5ды,8073,7621370
101ж~ 6ды,6973,6847626
101ж~ 7ды,9233,9738406
101ж~ 8ды,8553,8497887
101ж~ 9ды,8701,8699042
101ж~ 10ды,17702,20852623
101ж~ 11ды,37176,47937132
101ж~ 12ды,32853,40178249
102ж~ 1ды,31882,38585872
102ж~ 2ды,10193,11137023
102ж~ 3ды,13047,14238148
102ж~ 4ды,12510,13986038
102ж~ 5ды,12804,14015652
102ж~ 6ды,8743,9428151
102ж~ 7ды,11887,13042582
102ж~ 8ды,8707,8847271
102ж~ 9ды,8295,8538693
102ж~ 10ды,10015,10313716
102ж~ 11ды,8191,8225025
102ж~ 12ды,8535,8524753
103ж~ 1ды,9397,10051693
103ж~ 2ды,5184,5250661
103ж~ 3ды,8487,8608014
103ж~ 4ды,9062,9361240
103ж~ 5ды,8191,8345380
103ж~ 6ды,7492,7727290
103ж~ 7ды,9141,10007696
103ж~ 8ды,8108,8168279
103ж~ 9ды,8173,8319729
103ж~ 10ды,8891,8913699
103ж~ 11ды,7214,7014605
103ж~ 12ды,8127,8383047
104ж~ 1ды,9133,10024028
104ж~ 2ды,5092,4875826
104ж~ 3ды,8408,8286081
104ж~ 4ды,9061,9372821
104ж~ 5ды,8072,8091618
104ж~ 6ды,7811,8110293
104ж~ 7ды,10269,11495478
104ж~ 8ды,8704,8902280
104ж~ 9ды,8126,8701396
104ж~ 10ды,9969,10421735
104ж~ 11ды,8827,8736445
