統計期,核付人數(期底),核付人數/老年年金(期底),核付金額,核付金額/老年年金
98年 1月,－,－,－,－
98年 2月,18197,18159,231981,231423
98年 3月,27477,27295,369005,365414
98年 4月,34631,34298,452962,444611
98年 5月,39747,39286,510755,500764
98年 6月,43154,42534,550488,538071
98年 7月,48156,47362,612783,599941
98年 8月,52458,51489,669514,654534
98年 9月,55895,54767,717479,699321
98年 10月,59860,58569,767962,749568
98年 11月,63710,62270,818096,798783
98年 12月,67218,65632,865225,843293
99年 1月,72808,71067,941682,916778
99年 2月,76972,75078,997021,972809
99年 3月,79895,77844,1041894,1012781
99年 4月,85432,83173,1113862,1085375
99年 5月,90283,87830,1184677,1153399
99年 6月,94356,91749,1240308,1207361
99年 7月,100205,97383,1324118,1287617
99年 8月,105004,102008,1389509,1353008
99年 9月,109379,106208,1453089,1413709
99年 10月,113843,110496,1515604,1474421
99年 11月,117152,114394,1573635,1530026
99年 12月,121446,118502,1634297,1589412
100年 1月,129038,125931,1744315,1698664
100年 2月,134086,130912,1819709,1774309
100年 3月,138034,134667,1884230,1833482
100年 4月,145131,141591,1985897,1934314
100年 5月,150344,146591,2066926,2009216
100年 6月,155763,151819,2146328,2087571
100年 7月,163056,158944,2260479,2197467
100年 8月,168976,164686,2351366,2287016
100年 9月,175033,170547,2441817,2377537
100年 10月,181995,177302,2554786,2482331
100年 11月,187953,183053,2643431,2571659
100年 12月,193836,188716,2731976,2657935
101年 1月,203396,198131,2877977,2805848
101年 2月,210101,204653,2989329,2914015
101年 3月,217406,211677,3107584,3025287
101年 4月,226653,220695,3256674,3168961
101年 5月,234670,228483,3384426,3297585
101年 6月,242033,235656,3500063,3410474
101年 7月,250569,243976,3639462,3546210
101年 8月,259717,252904,3792771,3694167
101年 9月,267569,260566,3917043,3818936
101年 10月,277068,269865,4066847,3969558
101年 11月,300725,293322,4449417,4348017
101年 12月,326545,318973,4856828,4756626
102年 1月,365863,358111,5476749,5372124
102年 2月,386949,379062,5816661,5708387
102年 3月,401664,393604,6047908,5939804
102年 4月,422139,413842,6377142,6263647
102年 5月,436821,428293,6612577,6496726
102年 6月,449389,440648,6813472,6693694
102年 7月,462929,453951,7036158,6912586
102年 8月,473969,464782,7220976,7099973
102年 9月,482437,473100,7362736,7237123
102年 10月,490699,481174,7496178,7367458
102年 11月,499853,490035,7647054,7514653
102年 12月,507411,497373,7770819,7638129
103年 1月,519952,509720,7987211,7849381
103年 2月,529904,519506,8157187,8019020
103年 3月,537864,527225,8297715,8151550
103年 4月,548859,537923,8485872,8336496
103年 5月,559281,548105,8661571,8509749
103年 6月,567941,556498,8851792,8696427
103年 7月,578449,566760,9033946,8872888
103年 8月,589675,577932,9226555,9069200
103年 9月,599104,587032,9387904,9223310
103年 10月,609292,596990,9563164,9393971
103年 11月,619515,606820,9729086,9558111
103年 12月,627934,614960,9869181,9698738
104年 1月,642684,629438,10122897,9945171
104年 2月,653642,640144,10320794,10142807
