"order","from_state","to_state","lambda","transition_count","observations","origin_exposure_years"
2,0,0,0,0,0,0
2,0,1,0,0,0,0
2,0,2,0,0,0,0
2,0,3,0,0,0,0
2,0,4,0,0,0,0
2,0,5,0,0,0,0
2,1,0,0,0,0,13555
2,1,1,-0.799704905938768,2715,2715,13555
2,1,2,0.201623017336776,2733,2733,13555
2,1,3,0.20479527849502,2776,2776,13555
2,1,4,0.195426042050904,2649,2649,13555
2,1,5,0.197860568056068,2682,2682,13555
2,2,0,0,0,0,13545
2,2,1,0.19468438538206,2637,2637,13545
2,2,2,-0.800812107788852,2698,2698,13545
2,2,3,0.201771871539313,2733,2733,13545
2,2,4,0.202141011443337,2738,2738,13545
2,2,5,0.202214839424142,2739,2739,13545
2,3,0,0,0,0,13513
2,3,1,0.201583660179087,2724,2724,13513
2,3,2,0.196773477392141,2659,2659,13513
2,3,3,-0.794346185155036,2779,2779,13513
2,3,4,0.197365499888996,2667,2667,13513
2,3,5,0.198623547694812,2684,2684,13513
2,4,0,0,0,0,13543
2,4,1,0.201063279923208,2723,2723,13543
2,4,2,0.196559108026287,2662,2662,13543
2,4,3,0.192867163848483,2612,2612,13543
2,4,4,-0.794137192645647,2788,2788,13543
2,4,5,0.20364764084767,2758,2758,13543
2,5,0,0,0,0,13523
2,5,1,0.198476669378097,2684,2684,13523
2,5,2,0.201878281446425,2730,2730,13523
2,5,3,0.199437994527841,2697,2697,13523
2,5,4,0.198180877024329,2680,2680,13523
2,5,5,-0.797973822376692,2732,2732,13523
3,0,0,0,0,0,0
3,0,1,0,0,0,0
3,0,2,0,0,0,0
3,0,3,0,0,0,0
3,0,4,0,0,0,0
3,0,5,0,0,0,0
3,1,0,0,0,0,13514
3,1,1,-0.796877312416753,2745,2745,13514
3,1,2,0.20541660500222,2776,2776,13514
3,1,3,0.199792807458931,2700,2700,13514
3,1,4,0.19801687139263,2676,2676,13514
3,1,5,0.193651028562972,2617,2617,13514
3,2,0,0,0,0,13557
3,2,1,0.204101202330899,2767,2767,13557
3,2,2,-0.801209707162352,2695,2695,13557
3,2,3,0.201888323375378,2737,2737,13557
3,2,4,0.197167514936933,2673,2673,13557
3,2,5,0.198052666519141,2685,2685,13557
3,3,0,0,0,0,13503
3,3,1,0.200696141598163,2710,2710,13503
3,3,2,0.19625268458861,2650,2650,13503
3,3,3,-0.79419388284085,2779,2779,13503
3,3,4,0.199807450196253,2698,2698,13503
3,3,5,0.197437606457824,2666,2666,13503
3,4,0,0,0,0,13555
3,4,1,0.204721504979712,2775,2775,13555
3,4,2,0.19557358908152,2651,2651,13555
3,4,3,0.197122832902988,2672,2672,13555
3,4,4,-0.79778679454076,2741,2741,13555
3,4,5,0.20036886757654,2716,2716,13555
3,5,0,0,0,0,13550
3,5,1,0.197712177121771,2679,2679,13550
3,5,2,0.202287822878229,2741,2741,13550
3,5,3,0.200885608856089,2722,2722,13550
3,5,4,0.197047970479705,2670,2670,13550
3,5,5,-0.797933579335793,2738,2738,13550
4,0,0,0,0,0,0
4,0,1,0,0,0,0
4,0,2,0,0,0,0
4,0,3,0,0,0,0
4,0,4,0,0,0,0
4,0,5,0,0,0,0
4,1,0,0,0,0,13566
4,1,1,-0.800014742739201,2713,2713,13566
4,1,2,0.200869821612856,2725,2725,13566
4,1,3,0.204702933805101,2777,2777,13566
4,1,4,0.195046439628483,2646,2646,13566
4,1,5,0.199395547692761,2705,2705,13566
4,2,0,0,0,0,13556
4,2,1,0.193493655945707,2623,2623,13556
4,2,2,-0.799572145175568,2717,2717,13556
4,2,3,0.199542637946297,2705,2705,13556
4,2,4,0.206329300678666,2797,2797,13556
4,2,5,0.200206550604898,2714,2714,13556
4,3,0,0,0,0,13507
4,3,1,0.200710742577923,2711,2711,13507
4,3,2,0.19723106537351,2664,2664,13507
4,3,3,-0.79729029392167,2738,2738,13507
4,3,4,0.197082994003109,2662,2662,13507
4,3,5,0.202265491967128,2732,2732,13507
4,4,0,0,0,0,13530
4,4,1,0.196674057649667,2661,2661,13530
4,4,2,0.195787139689579,2649,2649,13530
4,4,3,0.197560975609756,2673,2673,13530
4,4,4,-0.795269770879527,2770,2770,13530
4,4,5,0.205247597930525,2777,2777,13530
4,5,0,0,0,0,13520
4,5,1,0.196671597633136,2659,2659,13520
4,5,2,0.199260355029586,2694,2694,13520
4,5,3,0.198890532544379,2689,2689,13520
4,5,4,0.199926035502959,2703,2703,13520
4,5,5,-0.794748520710059,2775,2775,13520
