"order","state","label","z_value","observations"
2,0,"unemployment",-Inf,0
2,1,"employed_1",-85.578151435357,15021
2,2,"employed_2",-33.3183320668684,15021
2,3,"employed_3",-1.23746209504402,15020
2,4,"employed_4",30.7261627364855,15021
2,5,"employed_5",82.8598153775521,15021
3,0,"unemployment",-Inf,0
3,1,"employed_1",-81.5671980707108,15021
3,2,"employed_2",-29.26975433539,15021
3,3,"employed_3",2.84968188367353,15020
3,4,"employed_4",34.8953274769922,15021
3,5,"employed_5",87.0951681994374,15021
4,0,"unemployment",-Inf,0
4,1,"employed_1",-86.6316570462494,15021
4,2,"employed_2",-34.2855979837128,15021
4,3,"employed_3",-2.15624287353084,15020
4,4,"employed_4",29.8364283262366,15021
4,5,"employed_5",82.0392431968526,15021
