"year","person_years","employed_person_years","employment_rate","mean_log_wage","observations"
2010,4182,4182,1,13.9831853057114,4182
2011,4448,4448,1,16.5430688081696,4448
2012,4710,4710,1,15.2599246590273,4710
2013,4974,4974,1,15.2937762095919,4974
2014,5244,5244,1,15.0713682825305,5244
2015,5518,5518,1,15.7155029303039,5518
2016,5782,5782,1,14.8104277346513,5782
2017,6047,6047,1,14.733027510281,6047
2018,6308,6308,1,14.476358082908,6308
2019,6579,6579,1,15.8700150890981,6579
2020,6842,6842,1,16.1050505331776,6842
2021,7103,7103,1,13.8879140200467,7103
2022,7367,7367,1,14.158406667864,7367
